Oil_store,주소,가격,셀프,상표
재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로 1246 (둔촌제2동),1639,Y,현대오일뱅크
현대오일뱅크㈜직영 명일셀프주유소,서울 강동구 고덕로 168 (명일동),1688,Y,현대오일뱅크
구천면주유소,서울 강동구 구천면로 357 (암사동),1693,N,현대오일뱅크
지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),1697,Y,GS칼텍스
방아다리주유소,서울 강동구 동남로 811 (명일동),1720,Y,SK에너지
현대오일뱅크㈜직영 암사셀프주유소,서울 강동구 올림픽로 749 (암사동),1723,Y,현대오일뱅크
sk해뜨는주유소,서울 강동구  상일로 132 (강일동),1728,Y,SK에너지
(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),1728,Y,S-OIL
대성석유(주)직영 길동주유소,서울 강동구 천호대로 1168,1735,N,GS칼텍스
주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),1743,N,SK에너지
(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),1748,N,GS칼텍스
지에스칼텍스㈜ 신월주유소,서울 강동구 양재대로 1323 (성내동),1769,N,GS칼텍스
천호현대주유소,서울 강동구 천중로 67 (천호동),1776,N,현대오일뱅크
(주)소모에너지 성내주유소,서울 강동구 올림픽로 578 (성내동),1828,Y,GS칼텍스
광성주유소,서울 강동구 올림픽로 673 (천호동),1848,N,S-OIL
강동주유소,서울 강동구 양재대로 1509 (길동),2168,N,SK에너지
동서울고속주유소,서울 동대문구 한천로 414,1595,Y,SK에너지
열린주유소,서울 동대문구 한천로 263 (휘경동),1625,N,S-OIL
풍한주유소,서울 동대문구 안암로 168,1625,N,SK에너지
(주)파랑에너지,서울 동대문구 망우로 126,1645,Y,GS칼텍스
대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),1647,Y,GS칼텍스
(주)경동주유소,서울 동대문구 이문로 191 (이문동),1647,Y,S-OIL
재정제2주유소,서울 동대문구 사가정로 90 (전농동),1657,Y,현대오일뱅크
재정주유소,서울 동대문구 전농로 121 (전농동),1659,N,현대오일뱅크
삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),1664,Y,SK에너지
삼영주유소,서울 동대문구 답십리로 258 (장안동),1664,N,SK에너지
답십리주유소,서울 동대문구 답십리로 223 (답십리동),1664,N,SK에너지
배봉로주유소,서울 동대문구 서울시립대로 108,1665,Y,현대오일뱅크
동일석유(주)강남주유소,서울특별시 동대문구  사가정로 103 (전농동),1667,N,SK에너지
(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),1688,Y,SK에너지
홍능주유소,서울 동대문구 홍릉로 87 (청량리동),1697,N,S-OIL
현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),1698,N,현대오일뱅크
오동나무주유소,서울 동대문구  한천로 81 (답십리동),1698,N,S-OIL
대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),1698,N,GS칼텍스
한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),1790,N,현대오일뱅크
다복주유소,경기 안산시 단원구 시흥대로 128 (선부동),1604,N,자가상표
(주)동강석유 남안산IC주유소,경기 안산시 단원구 성곡로 279 (신길동),1618,Y,S-OIL
(주)지티이엔알직영 서해주유소,경기 안산시 단원구 시흥대로 10 (선부동),1645,N,자가상표
대부주유소,경기 안산시 단원구 대부황금로 835 (대부동동),1646,N,SK에너지
